hours_studied,attendance,assignments_completed,pass
2,55,1,0
3,60,1,0
4,65,2,0
5,70,2,0
6,75,3,1
7,80,4,1
8,85,5,1
9,90,5,1
10,95,6,1
4,72,3,1
5,68,2,0
6,74,3,0
7,78,4,1
8,82,4,1
9,88,5,1
3,58,1,0
4,62,2,0
5,66,2,0
6,71,3,0
7,76,3,1
8,81,4,1
9,86,5,1
10,91,6,1
11,96,6,1
2,50,1,0
3,57,1,0
4,63,2,0
5,69,3,0
6,73,3,1
7,79,4,1
8,84,5,1
9,89,5,1
10,94,6,1
5,77,2,1
6,72,3,0
7,74,4,0
8,80,4,1
9,85,5,1
10,90,6,1
4,70,2,0
5,75,3,1
6,78,3,1
7,82,4,1
8,87,5,1
9,92,5,1
3,64,2,0
4,68,2,0
5,73,3,0
6,77,4,1
7,83,4,1
8,88,5,1
9,93,6,1
10,97,6,1
11,98,7,1
12,99,7,1
5,71,3,0
6,76,3,1
7,81,4,1
8,86,5,1
9,91,5,1
10,96,6,1
